,Team Score,Opp Score,Home/Away,Opponent,Team FG%,Opponent FG%,Team 3P%,Opponent 3P%,Team AST,Team TOV,Opponent AST,Opponent TOV,Team FGA,Team FTA,Opponent FGA,Opponent FTA,Team ORB,Opponent ORB,ORtg,DRtg,Ast_Tov_Team,Ast_Tov_Opp,Possession,Team,Opponent_num,prev_ORtg,prev_DRtg
241,107,104,1,IND,0.461,0.488,0.313,0.474,31,16,23,13,89,20,84,16,13,6,104.33934666016577,101.41394441735737,1.9375,1.7692307692307692,102.55,18,4,115.50209792685735,113.60179367116025
242,100,96,1,MIN,0.393,0.429,0.306,0.25,21,10,22,8,89,22,91,16,13,12,105.79211848717269,101.56043374768579,2.1,2.75,94.525,18,29,115.81210500736914,113.9585690780951
243,134,115,0,LAC,0.624,0.494,0.414,0.353,36,7,25,10,85,23,87,34,7,15,139.52882988415985,119.7448913184954,5.142857142857143,2.5,96.0375,18,17,114.94076143145402,113.69715449143477
244,88,82,1,POR,0.373,0.33,0.231,0.212,22,12,10,17,83,26,94,18,10,18,93.66684406599256,87.28046833422036,1.8333333333333333,0.5882352941176471,93.95,18,23,116.06057979616911,113.97161477056972
245,106,112,0,MIN,0.456,0.472,0.406,0.391,19,12,24,8,90,18,89,25,10,8,104.73014696801285,110.65826849450413,1.5833333333333333,3.0,101.2125,18,29,114.90635479567308,112.0175325759867
246,107,98,0,LAC,0.379,0.398,0.333,0.28600000000000003,20,10,21,12,87,42,88,24,14,9,104.72229018840223,95.91387325666749,2.0,1.75,102.175,18,17,113.45061390926078,111.12698159304209
247,119,91,1,PHO,0.506,0.377,0.321,0.282,28,18,20,19,85,29,77,35,9,10,108.97435897435896,83.33333333333333,1.5555555555555556,1.0526315789473684,109.2,18,25,112.84487978965058,109.33351703616948
248,100,98,1,GSW,0.407,0.456,0.188,0.241,21,8,22,18,86,42,79,24,13,6,95.07962918944617,93.17803660565724,2.625,1.2222222222222223,105.175,18,30,112.197111335031,106.08786692051038
249,126,112,1,SAC,0.515,0.523,0.3670000000000001,0.419,31,12,29,16,99,15,86,20,15,9,115.26586620926243,102.45854774156662,2.583333333333333,1.8125,109.3125,18,27,110.18200165496205,103.14346099324933
250,114,121,0,LAL,0.5,0.5,0.261,0.345,22,19,27,13,92,20,92,23,10,9,104.8637461193515,111.30274807404852,1.1578947368421053,2.0769230769230766,108.7125,18,16,108.68686465052464,100.7146700893519
251,116,111,1,NOP,0.452,0.524,0.314,0.458,28,13,28,22,93,23,82,20,9,7,102.91671287567928,98.48064766552069,2.1538461538461537,1.2727272727272727,112.7125,18,28,107.30389966599917,99.38991531267675
252,108,107,0,CHI,0.455,0.424,0.269,0.471,24,16,27,13,99,18,92,18,17,10,99.49332105020729,98.5720865960387,1.5,2.0769230769230766,108.55,18,11,106.59902214176006,98.7379316183158
253,110,91,0,CLE,0.482,0.41,0.385,0.278,22,12,18,13,85,21,83,19,14,13,117.64705882352942,97.32620320855615,1.8333333333333333,1.3846153846153846,93.5,18,15,105.77685029847245,98.48146780756275
254,103,88,1,UTA,0.494,0.407,0.321,0.194,32,17,22,12,83,19,81,24,8,10,104.3434215524883,89.14777763707737,1.8823529411764703,1.8333333333333333,98.7125,18,21,104.93558327122209,98.04455834007639
255,115,107,1,BOS,0.456,0.506,0.382,0.29,25,13,22,12,90,28,87,12,15,7,113.86138613861384,105.94059405940595,1.9230769230769231,1.8333333333333333,101.0,18,3,105.62767761947707,98.52305439297538
256,87,89,0,MEM,0.39,0.429,0.25,0.381,19,16,19,17,82,19,70,25,13,8,88.36973082783139,90.401218892839,1.1875,1.1176470588235294,98.45,18,24,106.23365129081931,98.60790295999938
257,110,112,1,BRK,0.46,0.409,0.278,0.364,20,12,21,8,87,34,88,42,15,12,108.32102412604628,110.29049729197438,1.6666666666666667,2.625,101.55,18,7,105.83680430224784,98.50332360341103
258,114,121,1,MIL,0.461,0.5710000000000001,0.474,0.5,27,10,27,12,89,20,84,13,10,5,113.61654416344835,120.592998629625,2.7,2.25,100.3375,18,1,105.79624341101051,99.22683585612239
